class index,filepaths,labels,data set
0,train/1-00/0.jpg,1_00,train
0,train/1-00/1.jpg,1_00,train
0,train/1-00/11.jpg,1_00,train
0,train/1-00/12.jpg,1_00,train
0,train/1-00/13.jpg,1_00,train
0,train/1-00/14.jpg,1_00,train
0,train/1-00/15.jpg,1_00,train
0,train/1-00/16.jpg,1_00,train
0,train/1-00/17.jpg,1_00,train
0,train/1-00/18.jpg,1_00,train
0,train/1-00/19.jpg,1_00,train
0,train/1-00/2.jpg,1_00,train
0,train/1-00/20.jpg,1_00,train
0,train/1-00/21.jpg,1_00,train
0,train/1-00/22.jpg,1_00,train
0,train/1-00/23.jpg,1_00,train
0,train/1-00/25.jpg,1_00,train
0,train/1-00/26.jpg,1_00,train
0,train/1-00/27.jpg,1_00,train
0,train/1-00/28.jpg,1_00,train
0,train/1-00/29.jpg,1_00,train
0,train/1-00/3.jpg,1_00,train
0,train/1-00/30.jpg,1_00,train
0,train/1-00/32.jpg,1_00,train
0,train/1-00/33.jpg,1_00,train
0,train/1-00/34.jpg,1_00,train
0,train/1-00/35.jpg,1_00,train
0,train/1-00/36.jpg,1_00,train
0,train/1-00/37.jpg,1_00,train
0,train/1-00/39.jpg,1_00,train
0,train/1-00/4.jpg,1_00,train
0,train/1-00/40.jpg,1_00,train
0,train/1-00/42.jpg,1_00,train
0,train/1-00/43.jpg,1_00,train
0,train/1-00/44.jpg,1_00,train
0,train/1-00/45.jpg,1_00,train
0,train/1-00/46.jpg,1_00,train
0,train/1-00/47.jpg,1_00,train
0,train/1-00/48.jpg,1_00,train
0,train/1-00/49.jpg,1_00,train
0,train/1-00/5.jpg,1_00,train
0,train/1-00/52.jpg,1_00,train
0,train/1-00/54.jpg,1_00,train
0,train/1-00/55.jpg,1_00,train
0,train/1-00/56.jpg,1_00,train
0,train/1-00/57.jpg,1_00,train
0,train/1-00/58.jpg,1_00,train
0,train/1-00/6.jpg,1_00,train
0,train/1-00/61.jpg,1_00,train
0,train/1-00/62.jpg,1_00,train
0,train/1-00/63.jpg,1_00,train
0,train/1-00/64.jpg,1_00,train
0,train/1-00/65.jpg,1_00,train
0,train/1-00/66.jpg,1_00,train
0,train/1-00/67.jpg,1_00,train
0,train/1-00/68.jpg,1_00,train
0,train/1-00/71.jpg,1_00,train
0,train/1-00/72.jpg,1_00,train
0,train/1-00/73.jpg,1_00,train
0,train/1-00/74.jpg,1_00,train
0,train/1-00/76.jpg,1_00,train
0,train/1-00/77.jpg,1_00,train
0,train/1-00/78.jpg,1_00,train
0,train/1-00/79.jpg,1_00,train
0,train/1-00/80.jpg,1_00,train
0,train/1-00/82.jpg,1_00,train
0,train/1-00/83.jpg,1_00,train
0,train/1-00/85.jpg,1_00,train
0,train/1-00/86.jpg,1_00,train
0,train/1-00/88.jpg,1_00,train
0,train/1-00/89.jpg,1_00,train
0,train/1-00/9.jpg,1_00,train
0,train/1-00/90.jpg,1_00,train
0,train/1-00/91.jpg,1_00,train
0,train/1-00/93.jpg,1_00,train
0,train/1-00/94.jpg,1_00,train
0,train/1-00/95.jpg,1_00,train
0,train/1-00/97.jpg,1_00,train
0,train/1-00/98.jpg,1_00,train
0,train/1-00/99.jpg,1_00,train
1,train/1-05/10.jpg,1_05,train
1,train/1-05/11.jpg,1_05,train
1,train/1-05/12.jpg,1_05,train
1,train/1-05/13.jpg,1_05,train
1,train/1-05/14.jpg,1_05,train
1,train/1-05/16.jpg,1_05,train
1,train/1-05/17.jpg,1_05,train
1,train/1-05/18.jpg,1_05,train
1,train/1-05/19.jpg,1_05,train
1,train/1-05/2.jpg,1_05,train
1,train/1-05/20.jpg,1_05,train
1,train/1-05/21.jpg,1_05,train
1,train/1-05/23.jpg,1_05,train
1,train/1-05/24.jpg,1_05,train
1,train/1-05/25.jpg,1_05,train
1,train/1-05/26.jpg,1_05,train
1,train/1-05/27.jpg,1_05,train
1,train/1-05/28.jpg,1_05,train
1,train/1-05/29.jpg,1_05,train
1,train/1-05/3.jpg,1_05,train
1,train/1-05/30.jpg,1_05,train
1,train/1-05/32.jpg,1_05,train
1,train/1-05/33.jpg,1_05,train
1,train/1-05/34.jpg,1_05,train
1,train/1-05/37.jpg,1_05,train
1,train/1-05/38.jpg,1_05,train
1,train/1-05/39.jpg,1_05,train
1,train/1-05/4.jpg,1_05,train
1,train/1-05/41.jpg,1_05,train
1,train/1-05/42.jpg,1_05,train
1,train/1-05/43.jpg,1_05,train
1,train/1-05/44.jpg,1_05,train
1,train/1-05/46.jpg,1_05,train
1,train/1-05/47.jpg,1_05,train
1,train/1-05/48.jpg,1_05,train
1,train/1-05/50.jpg,1_05,train
1,train/1-05/51.jpg,1_05,train
1,train/1-05/52.jpg,1_05,train
1,train/1-05/54.jpg,1_05,train
1,train/1-05/56.jpg,1_05,train
1,train/1-05/57.jpg,1_05,train
1,train/1-05/58.jpg,1_05,train
1,train/1-05/59.jpg,1_05,train
1,train/1-05/6.jpg,1_05,train
1,train/1-05/60.jpg,1_05,train
1,train/1-05/61.jpg,1_05,train
1,train/1-05/64.jpg,1_05,train
1,train/1-05/65.jpg,1_05,train
1,train/1-05/66.jpg,1_05,train
1,train/1-05/67.jpg,1_05,train
1,train/1-05/69.jpg,1_05,train
1,train/1-05/71.jpg,1_05,train
1,train/1-05/72.jpg,1_05,train
1,train/1-05/73.jpg,1_05,train
1,train/1-05/74.jpg,1_05,train
1,train/1-05/75.jpg,1_05,train
1,train/1-05/76.jpg,1_05,train
1,train/1-05/77.jpg,1_05,train
1,train/1-05/79.jpg,1_05,train
1,train/1-05/8.jpg,1_05,train
1,train/1-05/80.jpg,1_05,train
1,train/1-05/81.jpg,1_05,train
1,train/1-05/82.jpg,1_05,train
1,train/1-05/83.jpg,1_05,train
